2013-05-29 00:00:13 [INFO]:欢迎使用JDiy框架! (应用模式：javaSE. 本地化语言：zh_CN 简体中文)   net.jdiy.core.JDiyContext.newInstance(JDiyContext.java:35) 
2013-05-29 00:00:14 [INFO]:已经载入JDiy配置文件,正在验证配置文件的有效性......   net.jdiy.core.ContextImpl.loadXml(ContextImpl.java:137) 
2013-05-29 00:00:14 [INFO]:配置文件验证通过,正在载入配置信息...   net.jdiy.core.ContextImpl.loadXml(ContextImpl.java:145) 
2013-05-29 00:00:14 [INFO]:配置定义为显示SQL语句,如需隐藏SQL语句,请更改JDiy配置文件设置databases节点的属性showSql=false。   net.jdiy.core.ContextImpl.processDatabase(ContextImpl.java:153) 
2013-05-29 00:00:14 [INFO]:默认数据库为 'def'   net.jdiy.core.ContextImpl.processDatabase(ContextImpl.java:157) 
2013-05-29 00:00:14 [INFO]:已配置了2个数据库连接。   net.jdiy.core.ContextImpl.processDatabase(ContextImpl.java:160) 
2013-05-29 00:00:14 [INFO]:JDiy核心配置已经成功加载！   net.jdiy.core.ContextImpl.<init>(ContextImpl.java:37) 
2013-05-29 00:00:17 [INFO]:成功注册连接池:jdbc:mysql://127.0.0.1:3306/spiderinfo?useUnicode=true&characterEncoding=UTF8&characterSetResults=UTF8   net.jdiy.core.db.ConnPool.create(ConnPool.java:128) 
2013-05-29 00:00:17 [INFO]:select max(problem_id) as max_id from tb_problem where oj like '%ZJU%'   net.jdiy.core.DaoImpl.ls(DaoImpl.java:189) 
2013-05-29 00:00:17 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:17 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:17 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:17 [INFO]:#插入题号为1556的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:17 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:17 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:17 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:17 [INFO]:#插入题号为1557的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:17 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:17 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:17 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:17 [INFO]:#插入题号为1558的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:17 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:17 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:17 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:17 [INFO]:#插入题号为1559的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1560的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1561的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1562的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1563的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1564的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1565的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1566的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:18 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:18 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:18 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:18 [INFO]:#插入题号为1567的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1568的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1569的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1570的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1571的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1572的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1573的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:19 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:19 [INFO]:#插入题号为1574的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:19 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:19 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:20 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:20 [INFO]:#插入题号为1575的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
2013-05-29 00:00:20 [INFO]:SELECT title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time FROM tb_problem WHERE id=?   net.jdiy.core.DaoImpl.save(DaoImpl.java:406) 
2013-05-29 00:00:20 [INFO]:INSERT INTO tb_problem (title, problem_id, time_limit, problem_content, memory_limit, is_special_judge, oj, spider_time) VALUES (?, ?, ?, ?, ?, ?, ?, ?)   net.jdiy.core.DaoImpl.save(DaoImpl.java:435) 
2013-05-29 00:00:20 [INFO]:1 条记录被更新   net.jdiy.core.DaoImpl.save(DaoImpl.java:494) 
2013-05-29 00:00:20 [INFO]:#插入题号为1576的题目，插入成功   com.tzc.job.SpiderProblems.spiderProblemByZju(SpiderProblems.java:85) 
